difference,edges,l
24.75,0.0,8
23.75,0.0,8
22.75,0.0,8
21.75,6.0e-5,8
20.75,0.00026,8
19.75,0.0011,8
18.75,0.0037,8
17.75,0.01126,8
16.75,0.02244,8
15.75,0.04524,8
14.75,0.07256,8
13.75,0.09774,8
12.75,0.1121,8
11.75,0.11274,8
10.75,0.0962,8
9.75,0.07098,8
8.75,0.04434,8
7.75,0.02292,8
6.75,0.00984,8
5.75,0.0039,8
4.75,0.00302,8
3.75,0.00528,8
2.75,0.01744,8
1.75,0.0484,8
0.75,0.09678,8
-0.25,0.1017,8
25.25,0.0,1
24.25,0.0,1
23.25,0.0,1
22.25,0.0,1
21.25,0.0,1
20.25,0.0,1
19.25,0.0,1
18.25,0.0,1
17.25,0.0,1
16.25,0.0,1
15.25,2.0e-5,1
14.25,6.0e-5,1
13.25,0.00012,1
12.25,0.00086,1
11.25,0.00424,1
10.25,0.01242,1
9.25,0.02974,1
8.25,0.06118,1
7.25,0.10898,1
6.25,0.1629,1
5.25,0.19398,1
4.25,0.18802,1
3.25,0.13954,1
2.25,0.0699,1
1.25,0.02466,1
0.25,0.00338,1
