difference,edges,l
24.75,0.0,1
23.75,0.0,1
22.75,2.0e-5,1
21.75,2.0e-5,1
20.75,8.0e-5,1
19.75,0.00166,1
18.75,0.00372,1
17.75,0.01104,1
16.75,0.02224,1
15.75,0.04202,1
14.75,0.0672,1
13.75,0.09594,1
12.75,0.10866,1
11.75,0.11092,1
10.75,0.09454,1
9.75,0.06796,1
8.75,0.04294,1
7.75,0.02366,1
6.75,0.01024,1
5.75,0.00376,1
4.75,0.00118,1
3.75,6.0e-5,1
2.75,0.00016,1
1.75,0.00032,1
0.75,0.01218,1
-0.25,0.27948,1
25.25,0.0,2
24.25,0.0,2
23.25,0.0,2
22.25,6.0e-5,2
21.25,0.00038,2
20.25,0.00114,2
19.25,0.00378,2
18.25,0.00946,2
17.25,0.02382,2
16.25,0.04436,2
15.25,0.07162,2
14.25,0.09618,2
13.25,0.1108,2
12.25,0.11132,2
11.25,0.09772,2
10.25,0.0739,2
9.25,0.04522,2
8.25,0.02642,2
7.25,0.01628,2
6.25,0.0155,2
5.25,0.02202,2
4.25,0.0385,2
3.25,0.05764,2
2.25,0.06708,2
1.25,0.04916,2
0.25,0.01764,2
