temperature,energy
0.01,-1.0
0.02,-1.0
0.03,-1.0
0.04,-1.0
0.05,-1.0
0.06,-1.0
0.07,-1.0
0.08,-0.9999872
0.09,-0.9999743999999999
0.1,-0.9999296000000001
0.11,-0.9997023999999998
0.12,-0.9994624
0.13,-0.9989696
0.14,-0.9981696
0.15,-0.9971776
0.16,-0.9957855999999999
0.17,-0.9935903999999999
0.18,-0.9914463999999998
0.19,-0.9880000000000001
0.2,-0.9849696
0.21,-0.9809952
0.22,-0.9771136
0.23,-0.9711808000000002
0.24,-0.9661728
0.25,-0.9594847999999999
0.26,-0.9531552
0.27,-0.9460736000000001
0.28,-0.9390848
0.29,-0.9337824000000001
0.3,-0.9271135999999999
0.31,-0.9189183999999999
0.32,-0.9090464000000003
0.33,-0.902416
0.34,-0.8958304
0.35000000000000003,-0.8864576
0.36,-0.877088
0.37,-0.8682720000000002
0.38,-0.8606463999999999
0.39,-0.8499135999999998
0.4,-0.8404128
0.41000000000000003,-0.8313664
0.42,-0.8210528
0.43,-0.8127136
0.44,-0.802656
0.45,-0.7920448
0.46,-0.7833728
0.47000000000000003,-0.7736639999999999
0.48,-0.7650784
0.49,-0.7534208
0.5,-0.7454688
0.51,-0.7354688
0.52,-0.7246528000000001
0.53,-0.7169472000000001
0.54,-0.7106079999999999
0.55,-0.7015744
0.56,-0.6913536
0.5700000000000001,-0.6831424
0.58,-0.6759232
0.59,-0.6677344
0.6,-0.6601824
0.61,-0.6526784
0.62,-0.6413952
0.63,-0.6373632
0.64,-0.6322496
0.65,-0.6231648
0.66,-0.615008
0.67,-0.6076672000000001
0.68,-0.6038048
0.6900000000000001,-0.5967520000000002
0.7000000000000001,-0.5900415999999999
0.71,-0.5843744
0.72,-0.5754848
0.73,-0.5695167999999999
0.74,-0.5675168
0.75,-0.5596864
0.76,-0.555488
0.77,-0.5527968
0.78,-0.5440672000000001
0.79,-0.5394976
0.8,-0.5358912
0.81,-0.5316096
0.8200000000000001,-0.5262688
0.8300000000000001,-0.5227904
0.84,-0.5183712
0.85,-0.51376
0.86,-0.5104768000000001
0.87,-0.504176
0.88,-0.5018976
0.89,-0.4954176
0.9,-0.4919264
0.91,-0.4908928
0.92,-0.48878080000000007
0.93,-0.4847456000000001
0.9400000000000001,-0.4799392
0.9500000000000001,-0.47578240000000005
0.96,-0.47492159999999994
0.97,-0.467152
0.98,-0.4661696
0.99,-0.46329279999999995
1.0,-0.4597632
1.01,-0.4565759999999999
1.02,-0.4549408
1.03,-0.45262399999999997
1.04,-0.4504064
1.05,-0.4451904
1.06,-0.4426431999999999
1.07,-0.44137919999999997
1.08,-0.43821759999999993
1.09,-0.43407680000000004
1.1,-0.4326144
1.11,-0.430816
1.12,-0.42805119999999997
1.1300000000000001,-0.42728959999999994
1.1400000000000001,-0.424928
1.1500000000000001,-0.42012479999999996
1.16,-0.42078720000000003
1.17,-0.417216
1.18,-0.41592319999999994
1.19,-0.41317440000000005
1.2,-0.41290239999999995
1.21,-0.4093248
1.22,-0.4090176
1.23,-0.40716159999999996
1.24,-0.40473919999999997
1.25,-0.4015744
1.26,-0.4012543999999999
1.27,-0.3974688
1.28,-0.3957824
1.29,-0.39592960000000005
1.3,-0.3939968
1.31,-0.39203839999999995
1.32,-0.3908416
1.33,-0.38771839999999996
1.34,-0.3887776
1.35,-0.38688320000000004
1.36,-0.3824384
1.37,-0.3824608
1.3800000000000001,-0.3812128
1.3900000000000001,-0.37876160000000003
1.4000000000000001,-0.3778560000000001
1.41,-0.37711360000000005
1.42,-0.37316800000000006
1.43,-0.37240320000000005
1.44,-0.37156799999999995
1.45,-0.37193919999999997
1.46,-0.3717568
1.47,-0.367376
1.48,-0.3684288
1.49,-0.3641568
1.5,-0.36602239999999997
